"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:48:13.8886819 PM","dwnetfilter.exe","3948","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled","NAME NOT FOUND","Length: 20"
"7:48:13.8886978 PM","dwnetfilter.exe","3948","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"7:48:13.8887101 PM","dwnetfilter.exe","3948","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"7:48:13.8887247 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","REPARSE","Desired Access: Query Value"
"7:48:13.8887395 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\System\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","NAME NOT FOUND","Desired Access: Query Value"
"7:48:13.8888074 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\System\CurrentControlSet\Control\Cryptography\Providers","REPARSE","Desired Access: Read"
"7:48:13.8888251 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\System\CurrentControlSet\Control\Cryptography\Providers","SUCCESS","Desired Access: Read"
"7:48:13.8888449 PM","dwnetfilter.exe","3948","RegCloseKey","HKLM\System\CurrentControlSet\Control\Cryptography\Providers","SUCCESS",""
"7:48:13.8888618 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\System\CurrentControlSet\Control\Cryptography\Configuration","REPARSE","Desired Access: Read"
"7:48:13.8888777 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\System\CurrentControlSet\Control\Cryptography\Configuration","SUCCESS","Desired Access: Read"
"7:48:13.8888970 PM","dwnetfilter.exe","3948","RegCloseKey","HKLM\System\CurrentControlSet\Control\Cryptography\Configuration","SUCCESS",""
"7:48:13.9162464 PM","dwnetfilter.exe","3948","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:48:13.9181252 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\SOFTWARE\Doctor Web\Settings\SpIDerGate","NAME NOT FOUND","Desired Access: Query Value"
"7:48:13.9181835 PM","dwnetfilter.exe","3948","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:48:13.9182030 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\SOFTWARE\Doctor Web\Settings\SpIDerGate","NAME NOT FOUND","Desired Access: Query Value"
"7:48:13.9182921 PM","dwnetfilter.exe","3948","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:48:13.9183195 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\SOFTWARE\Doctor Web\Settings\SpIDerGate","NAME NOT FOUND","Desired Access: Query Value"
"7:48:13.9185027 PM","dwnetfilter.exe","3948","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:48:13.9185164 PM","dwnetfilter.exe","3948","RegOpenKey","HKLM\SOFTWARE\Doctor Web\Settings\SpIDerGate","NAME NOT FOUND","Desired Access: Query Value"
"7:48:14.2513417 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,051, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2513630 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,051, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2513778 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,051, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2513890 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 56,051, Length: 74"
"7:48:14.2514170 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,125, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514281 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,125, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514396 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,125, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514484 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 56,125, Length: 49"
"7:48:14.2514607 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,174, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514704 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,174, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514813 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 56,174, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:14.2514898 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 56,174, Length: 49"
